name	certificate_expires_at	days_left	revocation
HSBC-Bank-plc	2028-04-29	594	revoked
Aramco-Services-Company	2026-09-24	11	revoked
BOC-International-China-Limited-qi-ye-weixin-app-id-huiyi-kuozhan	2026-11-06	54	revoked
BOC-International-China-Limited-qi-ye-weixin-app-id-kuozhan	2026-11-06	54	revoked
BOC-International-China-Limited-qi-ye-weixin-app-id-tuisong-kuozhan	2026-11-06	54	revoked
BOC-International-China-Limited-qi-ye-weixin-zhu-app-id	2026-11-06	54	revoked
CENTRAL-POWER-INFORMATION-TECHNOLOGY-COMPANY-CENTRAL-POWER-CORPORATION-com.cpc.it.thinghiemdien	2028-11-02	781	revoked
CENTRAL-POWER-INFORMATION-TECHNOLOGY-COMPANY-CENTRAL-POWER-CORPORATION-com.cpc.it.tracnghiemantoan	2028-11-02	781	revoked
China-Academy-of-Railway-Sciences	2028-10-27	775	revoked
China-Telecom-Corporation-Limited-XC-com-ctq-qmc-yiban-inde	2029-02-23	894	revoked
China-Telecom-Corporation-Limited-XC-com-ctq-qmc-yiban-p	2029-02-23	894	revoked
China-Telecom-Corporation-Limited-XC-com-ctq-qmc-yiban-product	2029-02-23	894	revoked
Commission-on-Elections-Complaints-Management	2028-04-27	592	revoked
Forevermark-Marketing-Shanghai-Limited	2027-02-05	145	revoked
HSBC-Bank-plc	2028-04-29	594	revoked
Jiangsu-Simcere-Pharmaceutical-Co.-Ltd-workone	2028-03-06	540	revoked
Jiangsu-Simcere-Pharmaceutical-Co.-Ltd-worktwo	2028-03-06	540	revoked
Moving-Increasingly-Interconnected-Technology-Co.-Ltd-com.oa11	2029-06-12	1003	revoked
Moving-Increasingly-Interconnected-Technology-Co.-Ltd-comoaddw	2029-06-12	1003	revoked
National-Oilwell-Varco-Inc-Carbon-LAM	2029-01-25	865	revoked
National-Oilwell-Varco-Inc-WB-Carbon	2029-01-25	865	revoked
PowerChina-International-Group-Limited-DoaTYw	2028-10-21	769	revoked
PowerChina-International-Group-Limited-HRU79V	2028-10-21	769	revoked
PowerChina-International-Group-Limited-iWaMrs	2028-10-21	769	revoked
PowerChina-International-Group-Limited-j3krPY	2028-10-21	769	revoked
PowerChina-International-Group-Limited-nj61nO	2028-10-21	769	revoked
Qingdao-Rural-Commercial-Bank-Co.-Ltd	2028-11-14	793	revoked
Viet-Nam-Rubber-Group-Limited	2028-10-14	762	revoked
XL-AXIATA-PT-TBK	2029-02-17	888	revoked
